,iso3,year,country_emdat,tot_damages_year,nr_disasters_per_year,country,ccl_nlp,polity2,gdp,Country Name,pop,gdp_pc
0,ARG,2000,Argentina,0.472073,8,Argentina,3.0,8.0,284203.0,Argentina,36870787.0,0.007708080654747077
1,ARG,2001,Argentina,1.170699,7,Argentina,3.0,8.0,268696.0,Argentina,37275652.0,0.007208351446139695
2,ARG,2002,Argentina,0.0,3,Argentina,3.0,8.0,97724.0,Argentina,37681749.0,0.002593404037588595
3,ARG,2003,Argentina,1.691307,4,Argentina,3.0,8.0,127586.0,Argentina,38087868.0,0.0033497805652970654
4,ARG,2004,Argentina,0.0,3,Argentina,3.0,8.0,164657.0,Argentina,38491972.0,0.00427769717799857
5,ARG,2005,Argentina,0.0,1,Argentina,4.0,8.0,198737.0,Argentina,38892931.0,0.005109848882307173
6,ARG,2006,Argentina,0.0,1,Argentina,6.0,8.0,232557.0,Argentina,39289878.0,0.005919005398795079
7,ARG,2007,Argentina,0.052275,3,Argentina,8.0,8.0,287530.0,Argentina,39684295.0,0.007245435505405854
8,ARG,2008,Argentina,0.0,1,Argentina,8.0,8.0,361558.0,Argentina,40080160.0,0.009020872172166978
9,ARG,2009,Argentina,0.018946,6,Argentina,9.0,8.0,332976.0,Argentina,40482788.0,0.00822512520629755
10,ARG,2010,Argentina,0.0,1,Argentina,11.0,8.0,423627.0,Argentina,40788453.0,0.010385954083622638
11,ARG,2012,Argentina,0.014162,3,Argentina,11.0,8.0,545982.0,Argentina,41733271.0,0.013082655323135347
12,ARG,2013,Argentina,1.514453,2,Argentina,11.0,8.0,552025.0,Argentina,42202935.0,0.013080251409054845
13,ARG,2014,Argentina,0.070966,4,Argentina,11.0,8.0,526319.0,Argentina,42669500.0,0.01233478245585254
14,ARG,2015,Argentina,0.019664,4,Argentina,12.0,9.0,594749.0,Argentina,43131966.0,0.013789053807563513
15,ARG,2016,Argentina,1.131264,2,Argentina,14.0,9.0,557531.0,Argentina,43590368.0,0.012790233842485569
16,ARG,2017,Argentina,0.0,4,Argentina,16.0,9.0,643628.0,Argentina,44044811.0,0.014613026719537972
17,ARG,2018,Argentina,3.668946,5,Argentina,17.0,9.0,517626.0,Argentina,44494502.0,0.011633482267089988
18,AUS,2000,Australia,0.841863,6,Australia,1.0,10.0,415222.0,Australia,19153000.0,0.02167921474442646
19,AUS,2001,Australia,0.492152,9,Australia,1.0,10.0,378376.0,Australia,19413000.0,0.019490856642456086
20,AUS,2002,Australia,3.088189,6,Australia,1.0,10.0,394648.0,Australia,19651400.0,0.02008243687472648
21,AUS,2003,Australia,0.692308,10,Australia,1.0,10.0,466488.0,Australia,19895400.0,0.023447027956210984
22,AUS,2004,Australia,0.161391,7,Australia,1.0,10.0,612490.0,Australia,20127400.0,0.03043065671671453
23,AUS,2005,Australia,0.194253,4,Australia,1.0,10.0,693407.0,Australia,20394800.0,0.033999205679879185
24,AUS,2006,Australia,1.723679,8,Australia,2.0,10.0,746054.0,Australia,20697900.0,0.036044912768928246
25,AUS,2007,Australia,1.829619,2,Australia,2.0,10.0,853099.0,Australia,20827600.0,0.04096002419865947
26,AUS,2008,Australia,3.165262,5,Australia,3.0,10.0,1053995.0,Australia,21249200.0,0.049601632061442316
27,AUS,2009,Australia,1.907197,6,Australia,5.0,10.0,927805.0,Australia,21691700.0,0.04277235071478953
28,AUS,2010,Australia,12.586942,8,Australia,8.0,10.0,1146138.0,Australia,22031750.0,0.05202210446287744
29,AUS,2011,Australia,3.076638,3,Australia,11.0,10.0,1396649.0,Australia,22340024.0,0.06251779317694556
30,AUS,2012,Australia,0.693965,2,Australia,13.0,10.0,1546151.0,Australia,22733465.0,0.0680121134195777
31,AUS,2013,Australia,2.75207,3,Australia,13.0,10.0,1576184.0,Australia,23128129.0,0.06815008684878919
32,AUS,2014,Australia,1.287682,4,Australia,14.0,10.0,1467483.0,Australia,23475686.0,0.06251076113388124
33,AUS,2015,Australia,3.12336,8,Australia,17.0,10.0,1351693.0,Australia,23815995.0,0.056755680373631254
34,AUS,2016,Australia,0.716919,4,Australia,17.0,10.0,1208846.0,Australia,24190907.0,0.04997109037705779
35,AUS,2017,Australia,3.548523,3,Australia,17.0,10.0,1329188.0,Australia,24601860.0,0.05402794748039376
36,AUS,2018,Australia,1.307224,3,Australia,17.0,10.0,1432881.0,Australia,24982688.0,0.05735495716073467
37,BEL,2002,Belgium,0.007532,5,Belgium,3.0,10.0,257157.0,Belgium,10332785.0,0.024887481932509
38,BEL,2003,Belgium,0.0,2,Belgium,4.0,10.0,317381.0,Belgium,10376133.0,0.03058759944576655
39,BEL,2005,Belgium,0.0,3,Belgium,5.0,10.0,385570.0,Belgium,10478617.0,0.03679588632736553
40,BEL,2006,Belgium,0.0,1,Belgium,6.0,10.0,407918.0,Belgium,10547958.0,0.03867269854506436
41,BEL,2007,Belgium,0.588092,1,Belgium,6.0,8.0,470324.0,Belgium,10625700.0,0.04426287209313269
42,BEL,2008,Belgium,0.0,2,Belgium,6.0,8.0,515223.0,Belgium,10709973.0,0.04810684396683353
43,BEL,2010,Belgium,0.494761,3,Belgium,7.0,8.0,480951.0,Belgium,10895586.0,0.044141820366522734
44,BEL,2011,Belgium,0.119259,2,Belgium,7.0,8.0,522645.0,Belgium,11038264.0,0.047348477985306385
45,BEL,2012,Belgium,0.0,1,Belgium,7.0,8.0,496181.0,Belgium,11106932.0,0.04467309244352986
46,BEL,2013,Belgium,0.0,2,Belgium,8.0,8.0,521642.0,Belgium,11159407.0,0.04674459852571019
47,BEL,2014,Belgium,0.0,1,Belgium,9.0,8.0,534678.0,Belgium,11209057.0,0.04770053359528817
48,BEL,2015,Belgium,0.0,1,Belgium,9.0,8.0,462149.0,Belgium,11274196.0,0.04099174788162278
49,BEL,2016,Belgium,0.0,2,Belgium,10.0,8.0,475739.0,Belgium,11331422.0,0.04198405107496658
50,BEL,2018,Belgium,0.0,2,Belgium,10.0,8.0,543734.0,Belgium,11433256.0,0.04755723129089386
